50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,84dc4fd6-525c-49d8-9f9a-09280400da84,712,,,"[43.5, 52.5]",3938638,15,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marius Mihai Marin,30913.0,Center Defensive Midfield,26,Romania,905,,52,,,,,,,,,,,,,,,,Romania,905,00:15:52.237,Ball Recovery,,,,,,,43.5,52.5,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2ab74202-0d90-4ac7-a01b-a95c2cae929a,730,,,"[21.0, 38.5]",3938638,16,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Taras Stepanenko,11000.0,Left Defensive Midfield,27,Ukraine,911,,10,,,,,,,,,,,,,,,,Ukraine,911,00:16:10.190,Ball Recovery,,,,,,,21.0,38.5,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,686a4c39-8b53-47e2-8b5d-0c8ba6f89a84,765,,,"[27.9, 52.7]",3938638,16,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marius Mihai Marin,30913.0,Center Defensive Midfield,28,Romania,905,,55,,,,,,,,,,,,,,,,Romania,905,00:16:55.637,Ball Recovery,,,,,,,27.9,52.7,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b0a210e3-f3ae-4a22-875f-9186c6696e85,779,,,"[37.9, 19.5]",3938638,17,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mykhailo Mudryk,39483.0,Left Wing,30,Ukraine,911,,47,,,,,,,,,,,,,,,,Ukraine,911,00:17:47.445,Ball Recovery,,,,,,,37.9,19.5,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0dfc0fc2-03c6-4d48-bf11-aad45cbee05f,973,,,"[76.3, 51.8]",3938638,21,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Oleksandr Zinchenko,3575.0,Left Back,33,Ukraine,911,['fbc9ba58-e81d-47d7-8796-184ed3a65633'],23,,,,,,,,,,,,,,,,Ukraine,911,00:21:23.993,Ball Recovery,True,,,,,,76.3,51.8,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,aa972a70-c815-476e-a539-bf8da83308db,1002,,,"[114.8, 72.3]",3938638,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Artem Dovbyk,25079.0,Center Forward,35,Romania,905,['0c47b555-cfce-4a39-b4aa-e5deb23b4829'],26,,,,,,,,,,,,,,,,Ukraine,911,00:22:26.055,Ball Recovery,True,,,,,,114.8,72.3,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a5980f65-84a4-475e-8e91-a28807adccf5,1007,,,"[112.7, 70.0]",3938638,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Artem Dovbyk,25079.0,Center Forward,35,Romania,905,['842e28ed-fc72-4acc-be14-9d6a74b5c2a1'],28,,,,,,,,,,,,,,,,Ukraine,911,00:22:28.909,Ball Recovery,True,,,,,,112.7,70.0,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6e7a8cd9-1eb0-426d-b6ca-0e6a4d272d3e,1011,,,"[4.3, 23.6]",3938638,22,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Andrei Burcă Andonie,31908.0,Left Center Back,35,Romania,905,['4fcca378-d6db-4480-be40-03a23aad58bc'],30,,,,,,,,,,,,,,,,Romania,905,00:22:30.309,Ball Recovery,,,,,,,4.3,23.6,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5bf38c79-0f64-4a7e-acfb-ad17a7c1dc76,1037,,,"[2.7, 36.4]",3938638,23,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andriy Lunin,21390.0,Goalkeeper,37,Ukraine,911,,9,,,,,,,,,,,,,,,,Ukraine,911,00:23:09.287,Ball Recovery,,,,,,,2.7,36.4,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d901ab5c-cd27-4b51-a03e-0924e705651e,1092,,,"[21.9, 16.8]",3938638,25,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Florinel Teodor Coman,34599.0,Left Midfield,40,Ukraine,911,,21,,,,,,,,,,,,,,,,Romania,905,00:25:21.729,Ball Recovery,,,,,,,21.9,16.8,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0004d2d9-3976-44e5-a906-f27ef6885c09,1159,,,"[70.6, 33.8]",3938638,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Nicușor Silviu Bancu,34600.0,Left Back,42,Romania,905,['78156615-1ded-4993-8114-f89924eb52d3'],22,,,,,,,,,,,,,,,,Romania,905,00:27:22.404,Ball Recovery,,,,,,,70.6,33.8,,,Romania vs Ukraine,Romania,Ukraine
,,True,,,,,,,,,,,,,,,0.0,,,,,,,,,,,07825611-bd70-44e1-aaaf-5d756a8af3d5,1176,,,"[72.5, 31.7]",3938638,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Florinel Teodor Coman,34599.0,Left Midfield,42,Romania,905,"['4c765479-3ad9-4d92-a41f-bdb75db8211f', '9f5701b9-c7e6-475c-96a6-7bd5b3999ccb']",47,,,,,,,,,,,,,,,,Romania,905,00:27:47.014,Ball Recovery,True,,,,,,72.5,31.7,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1028dd1e-f41d-4cbe-9baa-cfe55be9b306,1177,,,"[69.4, 26.4]",3938638,27,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Nicolae Claudiu Stanciu,10916.0,Left Center Midfield,42,Romania,905,,48,,,,,,,,,,,,,,,,Romania,905,00:27:48.601,Ball Recovery,,,,,,,69.4,26.4,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2a3cc0ed-6b9c-4840-81b7-c3aa256c5067,1236,,,"[93.1, 65.0]",3938638,28,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dennis Man,56905.0,Right Midfield,44,Romania,905,['f5d378c1-3445-4b3d-a9f1-b6db9b56282c'],43,,,,,,,,,,,,,,,,Romania,905,00:28:43.318,Ball Recovery,,,,,,,93.1,65.0,,,Romania vs Ukraine,Romania,Ukraine
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d8987596-91d4-4250-8544-6bd047e90710,1319,,,"[27.6, 58.0]",3938638,34,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Georgiy Sudakov,38975.0,Center Attacking Midfield,52,Romania,905,,12,,,,,,,,,,,,,,,,Ukraine,911,00:34:12.297,Ball Recovery,,,,,,,27.6,58.0,,,Romania vs Ukraine,Romania,Ukraine
