50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,team,team_id,timestamp,type,under_pressure,tactics.formation,tactics.lineup,tactics,50_50.outcome.id,50_50.outcome.name,x,y,pass_end_x,pass_end_y,carry_end_x,carry_end_y,shot_end_x,shot_end_y,shot_end_z,end_x,end_y,match_name,home_team,away_team
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c1e887a2-fd71-424e-8f31-f0137bbe2185,2062,,"[71.5, 28.8]",3930168,47,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kai Havertz,8966.0,Center Forward,75,Germany,770,['2d2ca49b-9cf5-415b-aaa3-9062c1b92df0'],18,,,,,,,,,,,,,,,,Germany,770,00:02:18.924,Foul Committed,,,,,,,71.5,28.8,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,b65cf4ca-5c42-472e-92d2-db18ea3efabc,2127,,"[105.9, 23.3]",3930168,49,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,András Schäfer,42822.0,Left Defensive Midfield,80,Germany,770,"['de6f542f-fbf9-421c-84fa-1db6bffe2c80', 'f6870788-7c2d-41b5-a5ed-d8608712b111']",17,,,,,,,,,,,,,,,,Hungary,916,00:04:17.050,Foul Committed,,,,,,,105.9,23.3,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,True,,,,,,0.0,True,,,,,,,,,,f2047b20-fdd0-442a-a5be-9df05ac8889e,2280,,"[99.1, 22.2]",3930168,52,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,András Schäfer,42822.0,Left Defensive Midfield,85,Germany,770,"['19796536-acee-4483-8f9d-6b3be432730b', '43943fdf-b746-4d76-9991-2686b56cfe90', '94989e19-53b5-4af7-b4bc-91c0de642621']",10,,,,,,,,,,,,,,,,Hungary,916,00:07:10.580,Foul Committed,,,,,,,99.1,22.2,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,True,,,,,,0.0,,,,,,,,,,,b02e4449-a3e3-48a1-a781-befe2e2a6db2,2446,,"[113.0, 29.7]",3930168,54,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kai Havertz,8966.0,Center Forward,89,Hungary,916,"['2925cad7-7b5f-41cd-a723-76630a580ba6', '3c348a6f-30c2-4489-bbaa-4c7e524d8619']",37,,,,,,,,,,,,,,,,Germany,770,00:09:37.477,Foul Committed,,,,,,,113.0,29.7,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,51b18b96-d8ef-416b-8c02-26c7cac8dd06,2603,,"[51.4, 73.5]",3930168,59,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Bendegúz Bolla,46789.0,Right Wing Back,97,Germany,770,['6ec38048-3e14-481a-b2a5-52b5946091f3'],35,,,,,,,,,,,,,,,,Hungary,916,00:14:35.488,Foul Committed,,,,,,,51.4,73.5,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,54c27317-e0e8-451d-8256-404b59064c4d,2705,,"[65.5, 18.1]",3930168,62,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Jonathan Tah,8221.0,Left Center Back,101,Hungary,916,"['21275557-3a3f-4b8d-b008-695e5302493d', 'd669a24b-e151-4cb2-b921-8bd89d942899']",15,,,,,,,,,,,,,,,,Germany,770,00:17:15.739,Foul Committed,,,,,,,65.5,18.1,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,3ba7b308-c861-46f9-8147-169f724c67c3,2788,,"[91.4, 48.7]",3930168,65,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Attila Fiola,11268.0,Right Center Back,106,Germany,770,['c627fd17-f0b5-4123-ad3f-5e054c83d6fa'],13,,,,,,,,,,,,,,,,Hungary,916,00:20:13.052,Foul Committed,,,,,,,91.4,48.7,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e6c0ee9f-c0b6-48fe-97c2-26ff5ca8bfce,2803,,"[53.3, 66.2]",3930168,65,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Attila Fiola,11268.0,Right Center Back,106,Germany,770,['4d2da963-8ddc-4b93-9945-a55b319a189e'],32,,,,,,,,,,,,,,,,Hungary,916,00:20:32.629,Foul Committed,,,,,,,53.3,66.2,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,507111fd-8df5-4f4e-9dc7-e1438fec9230,2978,,"[32.4, 47.0]",3930168,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dominik Szoboszlai,21209.0,Right Attacking Midfield,113,Germany,770,['a5b63b90-024e-4c93-8762-76791f317f91'],18,,,,,,,,,,,,,,,,Hungary,916,00:25:18.035,Foul Committed,,,,,,,32.4,47.0,,,,,,,,,,Germany vs Hungary,Germany,Hungary
,,,,,,,,,,,,,,,,,,0.0,True,,,,,,,,,,c404d3c9-d646-4d81-9af5-966584f972f7,3010,,"[55.9, 3.9]",3930168,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Jonathan Tah,8221.0,Left Center Back,115,Hungary,916,['e8fc0e7a-9365-4e20-986d-91cd7d432e0d'],57,,,,,,,,,,,,,,,,Germany,770,00:26:57.066,Foul Committed,,,,,,,55.9,3.9,,,,,,,,,,Germany vs Hungary,Germany,Hungary
